"Date","daily_median_airtemp_interp_degC","flag_daily_median_airtemp_interp_degC","daily_median_swr_interp_Wm2","flag_daily_median_swr_interp_Wm2","daily_median_inflow_interp_cms","flag_daily_median_inflow_interp_cms","daily_median_watertemp_interp_degC","flag_daily_median_watertemp_interp_degC","daily_median_srp_interp_ugL","flag_daily_median_srp_interp_ugL","daily_median_din_interp_ugL","flag_daily_median_din_interp_ugL","daily_median_inflow_srp_interp_ugL","flag_daily_median_inflow_srp_interp_ugL","daily_median_inflow_din_interp_ugL","flag_daily_median_inflow_din_interp_ugL","daily_median_Secchi_interp_m","flag_daily_median_Secchi_interp_m","daily_median_CTD_Temp_C","flag_daily_median_CTD_Temp_C","daily_median_GreenAlgae_ugL","flag_daily_median_GreenAlgae_ugL","daily_median_Bluegreens_ugL","flag_daily_median_Bluegreens_ugL","daily_median_BrownAlgae_ugL","flag_daily_median_BrownAlgae_ugL","daily_median_TotalConcNoMixed_ugL","flag_daily_median_TotalConcNoMixed_ugL","daily_median_chla_interp_ugL","flag_daily_median_chla_interp_ugL"
2018-08-01,21.69,FALSE,2.5765,FALSE,0.00125012071760561,FALSE,26.884,TRUE,10,TRUE,24,TRUE,23,TRUE,195,TRUE,1.86,TRUE,24.5979,TRUE,3.25,TRUE,6.93,TRUE,2.32,TRUE,12.5,TRUE,4.01,TRUE
2018-08-02,21.195,FALSE,1.1325,FALSE,0.00345055925434314,FALSE,26.884,TRUE,10,TRUE,24,TRUE,23,TRUE,195,TRUE,1.86,TRUE,24.5979,FALSE,3.25,FALSE,6.93,FALSE,2.32,FALSE,12.5,FALSE,4.01,TRUE
2018-08-03,20.29,FALSE,1.15482051282051,TRUE,0.00507979286112326,FALSE,26.884,TRUE,10,TRUE,24,TRUE,23,TRUE,195,TRUE,1.86,TRUE,24.56595,TRUE,3.25,TRUE,6.6175,TRUE,2.315,TRUE,12.1825,TRUE,4.01,TRUE
2018-08-04,23.555,FALSE,1.17714102564103,TRUE,0.00319643042493992,FALSE,26.884,TRUE,10,TRUE,24,TRUE,23,TRUE,195,TRUE,1.86,TRUE,24.534,TRUE,3.25,TRUE,6.305,TRUE,2.31,TRUE,11.865,TRUE,4.01,TRUE
2018-08-05,24.73,FALSE,1.19946153846154,TRUE,0.00107333502484563,FALSE,26.884,TRUE,10,TRUE,24,TRUE,23,TRUE,195,TRUE,1.86,TRUE,24.50205,TRUE,3.25,TRUE,5.9925,TRUE,2.305,TRUE,11.5475,TRUE,4.01,TRUE
2018-08-06,24.693644,FALSE,1.22178205128205,TRUE,0.00060056959589545,FALSE,26.884,FALSE,10,FALSE,24,FALSE,23,FALSE,195,FALSE,1.86,FALSE,24.4701,FALSE,3.25,FALSE,5.68,FALSE,2.3,FALSE,11.23,FALSE,4.01,FALSE
2018-08-07,25.575,FALSE,1.24410256410256,TRUE,0.000464372344615442,FALSE,27.101,FALSE,9.57142857142857,TRUE,23.4285714285714,TRUE,22.2857142857143,TRUE,194.571428571429,TRUE,1.86,TRUE,24.9446666666667,TRUE,6.53333333333333,TRUE,4.64666666666667,TRUE,3.04,TRUE,14.22,TRUE,4.04,FALSE
2018-08-08,26.35,FALSE,1.26642307692308,TRUE,0.00046437234461521,FALSE,26.8645,FALSE,9.14285714285714,TRUE,22.8571428571429,TRUE,21.5714285714286,TRUE,194.142857142857,TRUE,1.86,TRUE,25.4192333333333,TRUE,9.81666666666667,TRUE,3.61333333333333,TRUE,3.78,TRUE,17.21,TRUE,6.26,FALSE
2018-08-09,23.675,FALSE,1.28874358974359,TRUE,0.000340385951254928,FALSE,27.162,FALSE,8.71428571428572,TRUE,22.2857142857143,TRUE,20.8571428571429,TRUE,193.714285714286,TRUE,1.86,TRUE,25.8938,FALSE,13.1,FALSE,2.58,FALSE,4.52,FALSE,20.2,FALSE,8.635,FALSE
2018-08-10,25.53,FALSE,1.3110641025641,TRUE,0.000135018550521742,FALSE,27.0855,FALSE,8.28571428571429,TRUE,21.7142857142857,TRUE,20.1428571428571,TRUE,193.285714285714,TRUE,1.86,TRUE,25.4264,FALSE,13.4675,TRUE,1.935,TRUE,5.57,TRUE,20.9725,TRUE,10.925,FALSE
2018-08-11,22.56,FALSE,1.33338461538462,TRUE,0.000229957999206173,FALSE,27.3405,FALSE,7.85714285714286,TRUE,21.1428571428571,TRUE,19.4285714285714,TRUE,192.857142857143,TRUE,1.86,TRUE,25.367525,TRUE,13.835,TRUE,1.29,TRUE,6.62,TRUE,21.745,TRUE,13.085,FALSE
2018-08-12,21.47,FALSE,1.35570512820513,TRUE,0.000340385951254928,FALSE,26.9,FALSE,7.42857142857143,TRUE,20.5714285714286,TRUE,18.7142857142857,TRUE,192.428571428571,TRUE,1.86,TRUE,25.30865,TRUE,14.2025,TRUE,0.645,TRUE,7.67,TRUE,22.5175,TRUE,15.545,FALSE
2018-08-13,20.79,FALSE,1.37802564102564,TRUE,0.000229957999206173,FALSE,26.4435,FALSE,7,FALSE,20,FALSE,18,FALSE,192,FALSE,1.86,TRUE,25.249775,TRUE,14.57,FALSE,0,FALSE,8.72,FALSE,23.29,FALSE,13.305,FALSE
